Date Added,OCLC No.,Title,Author,Imprint,Date,Aresenical Material,ID Method,Owner,# books
2024-05-04,,"The map of the Isle of Wight, with every information for the traveller and pleasure-visitor","Brannon, A",Newport: A. Brannon,1864,Paper covering,XRF,"Hartley Library, University of Southampton",1
2020-02-06,,The Patent Hat,"Ballou, Ellis, d. 1903.","New-York: : Published for the author by Carlton and Phillips, 200 Mulberry-St.",1855,bookcloth,XRF,The Library Company,1
2022-11-16,191314829,The Pet Annual: a gift for all seasons,,Leavitt & Allen; NY,1856-1860,decorative green onlay,XRF,American Antiquarian Society,1
2022-11-16,1053951752,The Pilgrim’s Progree,"Bunyan, John",Presb. Board of Publ. Phila,1844,bookcloth,XRF,American Antiquarian Society,1
2021-12-15,,The Pilgrim’s Progress From This World to That Which Is To Come,"Bunyan, John; collated by Thomas Scott, D.D.",Philadelphia: John B. Perry,1855,bookcloth,XRF,Athenaeum of Philadelphia,1
2020-02-06,,The Poems of Oliver Goldsmith,,London and New York: George Routledge & Co.,1859,bookcloth,XRF,The Library Company,1
2024-03-22,,The Poets of the Nineteenth Century,"Willmott, Reverend Robert Aris","London, New York: George Routledge & Co. ",1857,bookcloth,XRF,PBP Study Collection,1
2021-12-15,,The Positivist Calendar,"Edger, Henry","Published by the Author, Modern Time (Thompson) L.I.",1856,bookcloth,XRF,Athenaeum of Philadelphia,1
2023-12-04,317632256,The Pretty Picture ABC,,London: T. Nelson and Sons,[1867],paper cover,XRF,University of Florida,1
2023-12-04,13308573,The Private Purse and Tattle,Mrs. S. C. Hall,London: W&R Chambers,1858,bookcloth,XRF,University of Florida,1
2020-02-06,,The Rosebud,,New York: Leavitt & Allen,1856,decorative green onlay,XRF,The Library Company,2
2020-02-06,,The Rural Annual and Year-Book of Country Life,,New York: Leavitt & Allen,1856,decorative green onlay,XRF,The Library Company,1
2022-11-16,21741777,The Rural Wreath; or Life Among…,,Boston: Wentworth & Co.,1856,bookcloth,XRF,American Antiquarian Society,1
2022-11-16,3558486,The Rural Wreath; or Life Among…,,Boston: Wentworth & Co.,1857,bookcloth,XRF,American Antiquarian Society,1
2022-11-16,5338241,"The Snow Flake; A Christmas, New Year",,Leavitt & Allen; NY,1856-60,green onlay,XRF,American Antiquarian Society,1
2020-02-06,,"The Snowflake: a Christmas, New Year, and birthday gift, for MDCCCLIV",na,Philadelphia: E. H. Butler & Co.,1854,bookcloth,XRF,The Library Company,1
2024-05-04,,"The stranger’s guide and pleasure visitor’s companion to Southampton and the surrounding country, 10th edition","Brannon, Philip",Southampton: Sharland,186-,Paper covering,XRF,"Hartley Library, University of Southampton",1
2023-12-04,18883356,The swan’s egg,Mrs. S.C. Hall,Edinburgh: William and Robert Chambers,1851,paper cover,XRF,University of Florida,1
2022-11-16,191276588,The Temperance Gift,,Leavitt & Allen; NY,1854,decorative green onlay,XRF,American Antiquarian Society,1
2022-11-16,963910,"The Three Brides, Love in a Cottage ..","Durivage, Francis H.","Sanborn, Carter, Bazin & Co.; Boston",1856,bookcloth,XRF,American Antiquarian Society,1
2023-12-04,47055483,The Triumph of Principle and the Little Lace Maker,Brother James,Baltimore: John Murphy Co,1857,bookcloth,XRF,University of Florida,1
2022-11-16,2511893,The Violet: a Christmas and a New…,,Leavitt & Allen; NY,1856-1860,decorative green onlay,XRF,American Antiquarian Society,1
2020-02-06,,The Wanderers by Sea and Land,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860.",New York: D. Appleton & Co.,1854,decorative green onlay,XRF,The Library Company,1
2023-12-04,14126240,The Wonders of Home,Grandfather Grey,London: Bentley and Flay,1850,bookcloth,XRF,University of Florida,1
2020-02-06,,The Works of Robert Burns,,New York: Leavitt & Allen,1856,"bookcloth, decorative green onlay",XRF,The Library Company,1
2023-12-04,799060918,The Young Inquirer,,Edinburgh : Gall & Inglis ; London : Houlston and Stoneman,1838-1856,bookcloth,XRF,University of Florida,1
2023-12-04,421015637,Tired of Home,,London: Religious Tract Society,[1877?],decorative green onlay,XRF,University of Florida,1
2024-05-04,6011980,"Trees, plants, and flowers: their beauties, uses, and influences","Lee, Mrs R",London: Grant and Griffith,1854,Bookcloth,XRF,"Hartley Library, University of Southampton",1
2023-12-04,52454314,True Heroism,"Millar, George",Edinburgh: William and Robert Chambers,1849,paper cover,XRF,University of Florida,1
2023-12-04,5878173,Truth and Trust,,Edinburgh: William and Robert Chambers,1848,paper cover,XRF,University of Florida,1
2024-05-04,84668593,Views in the Isle of Wight,,[England?]: [publisher not identified],185-,Bookcloth,XRF,"Hartley Library, University of Southampton",1
2023-02-28,29643769,Vollständiger beweis…,,Breslau,1841,paper covering,XRF,Northwestern University,1
2023-02-28,11150346,Vorlesungen über die geschichte der philosophie,"Hegel, Georg Wilhelm Friedrich",Berlin: Duncker und Humblot,1840,paper covering,XRF,Northwestern University,1
2023-12-04,47830405,Wonders of the Sea Shore,,London: Society for Promoting Christian Knowledge (Great Britain),1847,bookcloth,XRF,University of Florida,1
2023-12-04,46885167,Woodcutter of Lebanon,,London: James Nisbet & Co.,1856,bookcloth,XRF,University of Florida,1
2023-12-04,1056429321,Collectanea topographica et genealogica.,"Nichols, John Gough (Editor)","London: John Bower Nichols and son, printers to the society of antiquaries",1834-1843,label,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,987457722,Geschichte Der Römische Literatur Im Karolingischen Zeitalter.,"Bähr, Johann Christian Felix",Carlsruhe: Verlag Der Chr. Fr. Müller’schen Hofbuchhandlung,1840,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,1008278436,Proverbs : with pictures,"Bennett, Charles Henry",London: Chapman and Hall,1859,paper cover,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
2023-12-04,,The court album: Fourteen Portraits of the female aristocracy.,"Hayter, John",London: David Bogue,1853,bookcloth,"VIS-NIR spectroscopy, Raman, SEM-EDS",University of St Andrews,1
